Hour,Day_of_Week,Weather,Temperature,Road_Capacity,Accidents,Vehicles,Traffic_Level
9,4,0,30,1238,4,218,Low
1,3,3,39,1036,4,1330,High
22,6,0,21,1757,0,510,Medium
12,4,3,20,558,2,611,Medium
12,4,0,19,1774,0,941,Medium
17,6,2,17,585,2,823,Medium
2,5,1,26,1262,1,931,Medium
6,4,0,29,889,1,834,Medium
13,5,3,24,1703,0,697,Medium
19,0,0,34,1218,2,443,Low
16,0,0,33,1355,2,889,Medium
20,4,0,30,648,2,776,Medium
11,0,3,25,1082,1,714,Medium
15,3,1,22,620,0,406,Low
23,5,2,17,1264,3,1147,High
11,5,1,37,1104,2,593,Medium
14,4,0,21,755,2,1244,High
9,0,3,37,1265,3,917,Medium
6,1,1,21,1363,0,401,Low
19,6,0,28,1299,2,319,Low
4,6,2,16,1832,0,588,Medium
0,5,2,24,558,2,433,Low
16,4,2,33,1521,4,801,Medium
2,4,0,23,1592,2,911,Medium
12,3,3,30,1969,4,1181,High
13,2,1,33,887,0,1403,High
23,2,2,32,1609,2,1056,High
17,5,0,23,1285,1,275,Low
3,6,0,30,1750,1,848,Medium
17,3,1,27,1092,3,849,Medium
4,3,2,24,1707,1,695,Medium
15,3,0,39,1845,4,1424,High
0,5,1,34,1408,1,1029,High
20,2,3,28,1841,1,682,Medium
13,6,3,26,1065,1,1442,High
14,3,3,39,898,2,1283,High
8,6,2,33,1398,3,1190,High
14,0,1,21,1816,0,818,Medium
16,4,1,37,792,3,749,Medium
23,4,0,29,984,4,845,Medium
3,6,0,30,1970,2,1444,High
11,1,0,22,1302,2,701,Medium
4,1,1,24,1935,1,1356,High
4,5,0,18,1389,1,1045,High
10,5,1,33,743,4,252,Low
5,4,1,33,1943,2,649,Medium
6,0,3,35,1459,0,261,Low
23,2,0,29,1677,3,1246,High
13,2,3,28,1315,2,243,Low
23,5,2,15,1947,0,1019,High
10,0,2,30,772,0,858,Medium
12,5,2,24,1019,3,927,Medium
1,2,1,33,1651,0,1051,High
6,6,1,36,1896,4,246,Low
19,5,1,17,1067,0,1019,High
3,3,0,19,1137,4,1247,High
7,6,3,23,658,0,288,Low
19,5,1,32,1151,1,1397,High
21,4,3,25,675,0,1342,High
20,5,3,30,1119,4,934,Medium
18,4,3,16,710,0,377,Low
12,0,0,26,946,0,1218,High
13,2,0,36,1085,0,1282,High
9,6,2,20,666,4,1100,High
10,6,2,25,959,0,637,Medium
1,1,3,22,1415,3,625,Medium
8,1,2,26,1880,3,1167,High
16,2,3,16,1827,4,685,Medium
2,1,0,23,1756,1,1408,High
23,6,0,29,1850,3,659,Medium
5,5,0,16,1705,2,1120,High
4,0,1,15,1857,3,1325,High
4,0,3,24,1552,2,1238,High
21,2,0,16,1213,4,947,Medium
14,1,3,26,1616,1,250,Low
22,5,2,37,1340,2,508,Medium
16,0,2,22,1367,2,1257,High
8,0,0,19,1187,3,1204,High
2,3,3,36,829,2,834,Medium
19,3,0,15,1707,4,404,Low
16,6,2,29,594,4,939,Medium
9,0,0,20,1284,4,1293,High
2,2,3,26,1148,3,1453,High
17,4,2,22,852,1,732,Medium
17,4,1,27,1429,3,307,Low
16,5,2,33,1440,4,1075,High
23,0,1,15,1483,3,1464,High
2,0,0,25,1788,4,450,Low
2,6,0,34,1542,0,334,Low
5,0,3,15,1145,0,1313,High
12,2,1,22,1125,2,888,Medium
23,3,0,19,638,1,606,Medium
14,0,1,31,1215,0,301,Low
8,0,0,22,1261,4,892,Medium
3,6,2,39,754,3,1369,High
13,1,0,24,1608,3,603,Medium
4,6,3,16,1981,2,1013,High
1,6,2,23,1175,3,1225,High
10,2,3,38,591,0,1342,High
8,5,2,37,1592,3,1054,High
23,0,1,17,536,0,1414,High
2,6,3,32,639,0,1226,High
8,6,0,21,1366,1,1141,High
2,1,1,29,1179,2,1220,High
1,6,0,35,1701,4,376,Low
11,4,2,36,636,0,1480,High
9,5,2,34,689,2,1072,High
8,0,0,32,841,4,676,Medium
14,0,0,39,1528,3,597,Medium
7,1,1,17,1471,2,419,Low
4,2,0,37,1780,2,372,Low
10,0,3,28,1161,2,935,Medium
1,4,3,38,742,3,701,Medium
23,0,0,16,914,3,960,Medium
14,4,3,28,1206,2,1483,High
5,5,0,36,842,1,330,Low
7,5,1,25,1181,0,1336,High
4,3,3,30,1902,3,997,Medium
15,3,3,22,1152,1,998,Medium
17,4,0,21,645,3,1129,High
5,2,3,25,822,2,922,Medium
4,0,2,17,621,1,1243,High
15,6,1,31,1775,4,414,Low
12,0,1,28,810,0,1474,High
4,3,3,20,1100,0,687,Medium
12,6,3,22,974,3,1494,High
16,4,2,36,1069,0,1417,High
17,6,2,19,1074,4,512,Medium
7,0,3,22,846,1,278,Low
12,0,3,16,1319,1,379,Low
18,2,2,29,1996,2,1203,High
2,1,0,26,881,1,874,Medium
23,6,2,31,1803,3,213,Low
7,3,0,15,571,4,1058,High
1,3,1,29,1020,2,445,Low
7,1,1,28,1889,3,1237,High
12,0,2,34,1432,3,298,Low
12,2,0,36,1617,3,232,Low
0,2,2,30,1896,0,456,Low
5,3,2,23,838,3,233,Low
23,2,0,15,1960,0,218,Low
18,5,2,31,1859,1,1483,High
15,1,1,27,1163,0,788,Medium
7,0,3,35,539,3,336,Low
0,5,3,35,1882,4,558,Medium
15,1,2,19,1073,4,953,Medium
8,4,0,24,1777,1,1339,High
12,6,0,20,1465,3,603,Medium
10,3,1,38,1080,0,1425,High
12,2,0,33,1921,4,449,Low
20,4,0,39,669,2,645,Medium
9,2,1,27,1200,3,1153,High
3,5,2,15,1010,3,477,Low
5,0,3,34,1783,2,311,Low
6,0,1,39,1083,4,945,Medium
4,0,2,29,1483,2,887,Medium
10,2,1,28,958,1,591,Medium
12,4,2,22,1028,0,1168,High
18,0,1,24,840,0,342,Low
22,4,2,23,556,4,1255,High
9,2,1,31,717,2,380,Low
9,5,2,23,1118,3,778,Medium
10,4,1,17,1315,3,997,Medium
20,5,3,25,1230,3,468,Low
6,2,3,26,963,1,1459,High
17,2,0,24,746,1,752,Medium
3,3,2,39,1229,3,832,Medium
1,2,1,31,872,4,474,Low
13,2,2,31,916,1,942,Medium
12,1,3,39,1554,1,285,Low
11,0,2,25,867,0,1286,High
6,3,1,36,1058,0,603,Medium
1,6,2,18,607,4,391,Low
12,3,1,21,1083,1,1254,High
13,3,3,35,1338,1,306,Low
16,6,3,28,917,2,821,Medium
8,1,3,21,1320,4,475,Low
16,5,0,38,1921,4,850,Medium
7,2,3,22,1795,2,755,Medium
1,0,2,15,1182,2,1305,High
23,4,0,38,1639,0,1287,High
12,6,3,36,755,4,766,Medium
2,5,2,18,1604,4,785,Medium
15,6,2,26,1279,2,1084,High
5,2,2,38,1651,3,328,Low
18,1,1,17,1337,3,455,Low
6,6,0,27,1414,0,1133,High
9,2,2,34,734,3,430,Low
8,2,1,20,1052,3,1360,High
1,1,3,25,680,3,1062,High
14,3,2,37,656,1,554,Medium
4,3,1,18,1977,0,345,Low
21,0,2,34,1070,2,1256,High
3,0,0,30,1356,3,459,Low
19,3,0,21,1547,1,286,Low
3,5,3,36,1996,3,1042,High
17,4,2,25,1923,1,464,Low
3,2,1,38,1447,0,591,Medium
16,4,3,15,1091,3,431,Low
11,2,2,21,633,1,1100,High
21,3,3,26,920,4,787,Medium
16,0,1,21,712,4,646,Medium
9,5,3,37,1399,1,1352,High
21,0,3,21,981,3,1494,High
0,4,3,24,847,3,1312,High
21,0,2,30,665,0,665,Medium
23,3,1,22,1436,0,1133,High
17,5,0,23,847,2,1393,High
17,4,2,23,1348,0,327,Low
13,5,0,16,897,3,1397,High
14,2,0,27,1082,2,1249,High
11,0,2,27,1225,0,772,Medium
3,5,2,37,1958,1,710,Medium
2,1,1,37,1744,4,687,Medium
19,0,1,18,807,0,1090,High
11,2,3,39,1490,0,778,Medium
6,5,0,38,1297,1,1149,High
10,4,1,26,1218,3,605,Medium
0,2,3,31,965,1,1249,High
5,1,1,16,598,0,1306,High
14,5,2,27,1765,3,563,Medium
14,6,1,32,657,2,1283,High
18,6,0,29,1109,0,750,Medium
10,3,1,22,1053,1,491,Low
22,0,0,29,1150,2,988,Medium
1,4,2,15,1419,4,1015,High
13,3,0,34,726,2,390,Low
1,5,1,24,922,1,660,Medium
3,6,3,26,1595,2,863,Medium
16,6,2,19,742,1,432,Low
2,6,1,23,1029,0,673,Medium
12,5,2,37,1568,3,857,Medium
8,6,2,22,1995,4,470,Low
6,2,1,30,870,3,1357,High
14,5,1,28,1151,3,370,Low
22,4,3,39,1188,3,227,Low
10,3,2,27,1233,1,335,Low
19,4,2,37,591,1,1124,High
1,1,1,35,1545,4,604,Medium
14,6,0,27,671,1,1176,High
13,1,1,19,1715,1,1087,High
19,0,2,30,1600,1,1464,High
21,0,1,25,1804,1,1055,High
10,1,3,36,1887,0,643,Medium
2,5,0,19,678,4,633,Medium
16,4,1,27,737,1,1451,High
11,1,3,25,1658,4,708,Medium
23,0,2,39,1376,2,233,Low
20,1,1,33,1401,0,1225,High
14,5,2,17,779,1,561,Medium
15,1,3,29,1542,0,1418,High
4,4,2,21,1239,0,805,Medium
19,3,3,21,870,2,915,Medium
5,5,3,20,1635,4,449,Low
18,0,3,17,1369,0,346,Low
4,4,1,27,1518,3,547,Medium
2,1,2,21,720,2,1477,High
0,1,2,19,1419,3,598,Medium
5,3,0,37,803,2,1399,High
14,0,0,32,1848,3,324,Low
1,0,0,36,1960,3,962,Medium
2,2,0,22,937,0,597,Medium
16,0,2,31,1693,0,330,Low
23,3,3,34,874,2,804,Medium
11,6,3,15,880,4,1091,High
17,2,1,28,1485,0,1021,High
14,2,3,31,513,0,1101,High
11,1,2,24,1242,1,1144,High
15,1,2,26,1168,0,931,Medium
7,0,2,30,999,4,533,Medium
13,2,1,28,1914,1,1243,High
16,1,0,30,1064,3,404,Low
20,3,3,22,1029,3,1155,High
7,1,2,37,991,1,554,Medium
14,5,2,24,1908,1,1396,High
13,5,0,31,1719,1,1412,High
17,1,2,32,1254,2,1023,High
19,2,3,34,799,4,1225,High
6,6,1,30,1314,4,1140,High
2,6,2,31,1046,3,367,Low
11,2,3,30,1226,3,567,Medium
20,4,2,33,1230,3,735,Medium
23,6,0,38,1327,0,1162,High
2,5,2,38,1101,3,779,Medium
19,3,2,22,1831,1,1149,High
13,2,1,20,1775,3,406,Low
14,0,0,20,1531,1,1272,High
13,5,0,35,1267,2,743,Medium
6,3,1,23,1374,0,328,Low
16,3,2,18,1731,0,813,Medium
11,2,3,26,1436,4,234,Low
19,3,0,26,630,2,1018,High
3,2,0,37,1107,1,398,Low
8,6,2,31,525,2,276,Low
5,1,2,29,1977,0,568,Medium
15,5,0,23,1134,1,1032,High
21,4,2,21,1709,2,725,Medium
21,1,3,24,983,0,548,Medium
20,5,0,30,1179,1,705,Medium
20,2,3,26,1574,1,842,Medium
1,5,3,39,504,0,437,Low
23,6,2,21,1088,1,337,Low
7,2,3,32,1683,0,1492,High
10,1,2,29,707,3,1424,High
12,0,1,20,756,3,1365,High
16,0,2,26,1728,1,811,Medium
7,5,3,25,510,1,879,Medium
20,0,1,34,1448,0,1038,High
17,2,2,17,507,1,1137,High
17,3,3,16,1932,4,554,Medium
13,2,0,20,1435,3,777,Medium
14,3,0,38,531,1,1046,High
5,1,2,36,1039,1,758,Medium
10,4,2,39,1504,2,1048,High
12,3,0,19,886,1,1454,High
0,0,3,32,1751,4,1369,High
5,2,3,30,1139,3,1375,High
8,1,3,22,1998,2,339,Low
7,0,2,39,706,0,862,Medium
10,1,1,34,1841,0,220,Low
21,4,1,36,1056,3,1477,High
18,6,1,25,847,0,263,Low
23,2,1,24,1292,4,1441,High
8,5,1,38,733,1,1295,High
16,2,2,39,1567,3,1189,High
11,4,2,26,1505,2,361,Low
13,2,1,35,1236,1,329,Low
14,5,2,20,1441,0,780,Medium
15,3,2,34,1665,0,424,Low
21,1,1,19,675,2,779,Medium
21,5,3,37,948,4,1182,High
19,0,2,23,1091,2,1204,High
0,4,3,30,581,3,306,Low
9,3,2,36,634,2,820,Medium
7,0,2,28,1355,0,1039,High
17,0,1,36,1700,4,1326,High
0,4,2,22,1906,4,1364,High
1,3,0,34,1766,2,776,Medium
0,6,0,33,1664,3,1357,High
0,0,1,28,1980,0,398,Low
8,0,3,21,939,1,709,Medium
12,3,3,19,1579,4,866,Medium
0,2,3,32,1196,2,278,Low
12,0,0,16,918,3,1093,High
19,1,3,25,587,3,711,Medium
21,3,3,36,1155,0,449,Low
6,0,1,22,1531,4,1088,High
1,4,3,15,714,0,1223,High
5,5,0,36,1051,1,798,Medium
6,1,0,26,1002,1,952,Medium
13,5,0,16,1198,1,799,Medium
17,5,1,32,744,3,1174,High
14,0,1,21,808,4,682,Medium
1,1,2,31,730,0,1035,High
9,1,3,36,1906,0,371,Low
22,2,1,37,654,1,1068,High
11,5,0,28,1698,4,216,Low
16,1,0,38,1347,4,593,Medium
7,2,1,21,614,2,1442,High
10,3,1,36,1913,4,433,Low
2,2,1,39,810,4,447,Low
5,4,2,17,1492,0,251,Low
8,6,0,20,799,4,214,Low
5,0,2,34,1541,4,640,Medium
8,3,2,16,1283,0,1335,High
6,6,3,31,511,4,895,Medium
8,6,0,26,1927,0,206,Low
17,3,0,26,731,2,1025,High
11,4,1,31,1454,3,1468,High
7,2,1,24,1229,0,1329,High
7,0,3,17,1801,0,1236,High
17,2,2,34,1876,4,1369,High
19,1,1,32,1517,0,677,Medium
14,2,1,27,1498,1,830,Medium
6,3,0,26,802,1,914,Medium
10,0,0,31,1040,2,314,Low
19,2,1,18,969,0,708,Medium
15,0,0,37,1312,4,1375,High
3,0,3,24,576,4,256,Low
5,1,1,25,1519,3,581,Medium
21,1,0,20,523,2,1380,High
2,3,3,20,1538,4,1151,High
8,4,0,23,1175,3,1356,High
9,6,0,29,1024,4,1386,High
13,0,0,16,846,3,474,Low
10,4,1,18,671,1,1300,High
17,6,2,19,1850,1,243,Low
21,6,0,31,1211,4,917,Medium
11,3,3,22,988,2,517,Medium
22,6,1,22,1985,0,733,Medium
11,6,1,36,877,2,1377,High
12,0,3,26,1687,2,436,Low
12,0,0,35,871,0,1092,High
18,5,2,22,1499,1,716,Medium
18,4,0,33,1476,1,1444,High
22,2,3,17,1947,0,1400,High
13,1,1,32,1256,3,1443,High
3,2,2,35,976,2,237,Low
12,4,1,33,881,4,853,Medium
7,1,3,33,654,1,946,Medium
22,2,0,29,756,4,1426,High
20,5,2,20,1173,0,1040,High
22,1,1,30,567,4,647,Medium
18,0,1,22,843,4,883,Medium
11,2,1,30,1800,2,324,Low
17,1,0,32,1172,0,1288,High
5,5,2,34,890,4,992,Medium
17,6,0,30,1972,1,983,Medium
18,1,0,25,758,0,1467,High
21,1,0,21,806,1,425,Low
4,5,3,31,1618,3,664,Medium
23,6,3,31,1449,4,842,Medium
8,2,3,26,1987,0,492,Low
2,3,2,27,1469,1,920,Medium
9,2,0,24,745,4,955,Medium
18,6,0,21,1232,2,365,Low
2,4,3,28,686,1,968,Medium
21,5,0,37,1424,1,1441,High
14,2,0,15,1284,3,1206,High
0,1,1,31,1896,2,1070,High
6,5,0,18,1929,3,1498,High
11,0,1,35,907,2,1275,High
16,6,0,19,1648,1,766,Medium
20,2,2,34,1860,3,1237,High
23,5,3,38,840,4,801,Medium
19,2,1,37,1062,2,1312,High
4,5,3,39,1701,1,1104,High
3,1,1,21,1150,0,240,Low
11,0,1,24,1451,2,1491,High
19,0,1,31,1693,2,1361,High
23,4,2,21,1562,4,1229,High
17,5,0,15,568,2,441,Low
16,2,1,21,1759,2,361,Low
18,0,2,38,880,4,1218,High
8,6,1,25,556,4,891,Medium
3,0,0,23,1800,3,1008,High
20,3,1,26,1349,1,1178,High
1,3,2,17,1622,1,717,Medium
3,0,0,18,1415,3,1097,High
1,5,2,18,824,1,982,Medium
14,4,0,39,960,2,983,Medium
1,0,0,27,678,3,1379,High
3,1,3,37,1343,3,284,Low
5,2,3,33,1073,1,1233,High
6,4,3,24,618,0,337,Low
9,1,0,19,1992,1,953,Medium
18,4,1,21,1048,0,1105,High
18,1,2,38,1145,3,912,Medium
21,2,2,30,1978,0,355,Low
11,2,2,15,525,2,607,Medium
2,3,3,26,1531,4,986,Medium
12,5,0,16,1468,0,1448,High
17,1,3,21,1032,4,779,Medium
7,3,1,25,648,2,1407,High
20,1,0,27,1548,4,1418,High
14,3,2,16,1154,2,753,Medium
0,2,3,21,1444,4,595,Medium
2,4,3,29,1054,4,1357,High
7,6,1,39,924,1,1009,High
3,3,1,25,792,0,1161,High
15,1,3,16,1708,4,741,Medium
22,1,1,21,1053,3,1232,High
9,6,2,18,930,1,1186,High
11,5,1,25,1103,0,369,Low
13,2,1,16,816,1,489,Low
13,1,3,30,897,0,1391,High
1,0,3,21,1847,2,1368,High
22,4,0,27,1095,4,939,Medium
4,3,0,19,1045,3,787,Medium
4,5,3,31,575,1,934,Medium
5,6,1,35,1364,1,656,Medium
12,4,1,26,1415,1,900,Medium
8,2,0,33,1208,1,1178,High
21,5,0,21,985,4,245,Low
14,3,0,20,1611,0,1240,High
13,3,2,22,1246,4,1484,High
23,6,2,27,1755,2,1346,High
6,0,0,19,1530,4,430,Low
19,6,1,16,1049,4,1149,High
1,2,0,23,1475,2,836,Medium
6,5,2,25,1575,4,311,Low
5,5,1,38,1441,0,792,Medium
16,1,2,20,1418,3,1469,High
1,0,1,21,1919,2,1058,High
2,0,2,39,1744,1,590,Medium
4,5,1,21,1951,0,591,Medium
4,5,1,33,1666,3,527,Medium
0,4,1,20,862,0,1438,High
7,4,1,25,881,0,946,Medium
11,4,3,25,1800,1,566,Medium
23,0,2,21,770,3,281,Low
3,1,2,16,1537,0,1005,High
12,3,3,33,797,1,1021,High
22,4,1,18,1503,2,1299,High
14,1,1,20,1987,1,1151,High
10,6,2,31,733,4,571,Medium
9,2,3,39,1074,1,1488,High
2,4,1,19,526,1,463,Low
21,6,1,21,1994,1,309,Low
13,3,1,23,592,0,506,Medium
15,2,0,39,1116,3,1423,High
9,2,3,15,808,1,425,Low
9,3,1,15,551,1,384,Low
11,4,0,33,818,4,1163,High
8,0,3,20,680,4,230,Low
0,3,1,32,1643,2,813,Medium
4,3,2,24,1374,2,298,Low
19,3,0,25,1566,4,1010,High
7,2,0,15,1146,3,1489,High
10,1,1,15,1783,2,851,Medium
11,6,1,27,696,3,1013,High
0,0,0,19,1144,4,1219,High
21,4,2,34,1470,2,1177,High
19,4,2,15,754,1,287,Low
10,6,3,34,1231,4,1286,High
4,1,1,17,835,2,1121,High
14,3,2,32,1489,3,785,Medium
4,0,3,23,1399,3,1017,High
11,4,2,28,1778,2,1131,High
4,6,1,31,1013,3,1492,High
16,5,3,37,741,2,996,Medium
16,6,3,28,648,2,1218,High
23,4,3,18,1822,3,1212,High
11,3,2,19,1256,0,1172,High
23,5,1,35,1119,1,832,Medium
14,1,3,31,952,4,545,Medium
14,0,0,36,1916,1,923,Medium
5,1,1,39,711,4,1100,High
11,1,0,16,1167,4,1301,High
19,6,0,37,1093,1,1237,High
17,0,3,36,630,2,335,Low
13,0,3,19,1852,3,596,Medium
1,4,2,18,1111,0,991,Medium
8,4,2,18,755,0,278,Low
4,0,2,20,1060,0,904,Medium
19,5,1,34,562,1,1181,High
0,2,2,35,1834,1,1465,High
22,4,0,27,906,2,1274,High
2,2,2,36,1301,0,943,Medium
5,6,3,19,1628,2,583,Medium
4,5,2,37,514,0,574,Medium
20,0,1,39,758,1,405,Low
4,5,1,37,1222,3,688,Medium
0,4,0,21,1935,3,1080,High
16,1,1,34,1782,3,831,Medium
18,6,2,15,1113,3,791,Medium
13,0,3,28,1783,4,1265,High
11,3,1,38,1568,0,732,Medium
9,6,0,18,1312,3,721,Medium
19,2,2,31,830,4,1024,High
20,5,0,35,664,4,1376,High
17,0,1,28,1716,4,797,Medium
23,6,1,30,1924,2,312,Low
10,5,0,28,1897,2,1335,High
1,0,2,30,1588,4,1398,High
17,4,1,38,886,3,933,Medium
6,6,3,34,1938,0,1444,High
23,4,1,22,1553,1,1394,High
14,6,2,38,1789,2,517,Medium
10,4,1,17,827,3,1195,High
17,5,0,39,1740,3,412,Low
22,3,1,33,819,1,452,Low
11,6,1,15,898,1,323,Low
5,6,2,16,604,3,1436,High
19,4,0,29,1195,1,823,Medium
22,0,2,36,1516,3,1308,High
12,6,1,24,829,1,1288,High
19,4,3,32,1159,1,1466,High
15,1,1,36,1570,3,1097,High
17,4,2,28,1098,4,1360,High
9,5,3,31,1320,3,446,Low
22,3,2,27,1140,0,640,Medium
7,1,2,15,813,1,244,Low
17,5,0,19,1670,2,857,Medium
20,5,3,27,961,1,1079,High
0,5,1,39,985,0,1216,High
22,0,2,28,909,2,753,Medium
7,5,1,38,526,2,1008,High
5,0,0,17,1552,3,1170,High
4,5,0,29,770,4,1312,High
14,2,3,33,1185,3,929,Medium
21,1,0,31,1000,2,1220,High
14,2,0,17,1776,2,1153,High
1,5,1,30,884,4,1451,High
0,1,0,28,559,1,1290,High
22,1,0,26,1630,4,1474,High
22,6,2,26,719,3,1264,High
10,3,0,25,1964,1,298,Low
9,2,2,31,1270,3,1071,High
17,3,0,22,1063,4,500,Medium
17,1,0,31,1045,1,1422,High
16,0,3,35,595,4,687,Medium
7,1,3,39,1488,0,1329,High
14,3,2,37,1612,2,1204,High
7,2,0,34,1327,1,676,Medium
16,5,1,25,730,2,1345,High
11,6,3,39,1467,0,1300,High
7,6,1,39,774,1,1335,High
13,6,3,16,745,2,1060,High
3,5,3,24,610,2,1008,High
0,6,0,24,733,1,717,Medium
0,2,3,25,1801,2,1420,High
18,5,1,20,916,2,1321,High
15,6,3,18,1177,1,658,Medium
13,5,2,38,1651,2,429,Low
20,3,0,26,1760,2,1391,High
15,2,0,25,1302,3,207,Low
4,4,2,37,1118,3,1395,High
8,0,2,37,1651,0,394,Low
1,6,2,39,1206,3,1492,High
17,0,3,27,1350,3,1242,High
5,5,0,19,1917,0,553,Medium
8,0,2,20,974,2,1272,High
0,2,3,15,1154,2,663,Medium
8,2,2,20,894,3,555,Medium
15,1,1,32,610,0,1049,High
12,6,1,36,589,2,1173,High
8,1,0,23,1262,4,1381,High
20,0,3,38,1803,1,265,Low
12,4,1,39,1856,1,1058,High
8,1,1,29,1747,1,770,Medium
10,1,3,22,1624,3,507,Medium
3,2,2,33,631,1,982,Medium
1,4,3,38,1536,1,320,Low
5,5,2,30,956,4,965,Medium
13,0,1,20,1964,2,972,Medium
3,1,1,20,597,4,295,Low
5,4,1,36,1643,3,1337,High
18,6,0,17,792,1,1186,High
5,4,0,24,1524,2,739,Medium
1,0,0,15,1071,1,201,Low
17,4,3,28,749,1,1435,High
12,4,1,18,1151,3,779,Medium
8,4,1,26,648,1,532,Medium
22,6,3,20,1918,0,1247,High
18,1,0,25,543,2,941,Medium
12,0,3,26,1567,2,705,Medium
10,6,0,24,1601,0,1199,High
0,4,1,32,1749,3,1399,High
23,4,2,21,661,1,932,Medium
21,1,0,21,752,1,713,Medium
6,0,1,25,631,2,1094,High
20,2,1,18,1971,3,560,Medium
14,6,2,34,973,3,473,Low
0,1,1,15,1632,3,376,Low
11,0,1,27,1205,1,1487,High
6,6,0,32,1558,3,1409,High
14,4,0,23,1990,0,726,Medium
20,0,2,38,774,4,1112,High
18,0,2,38,686,3,478,Low
0,5,1,23,1448,4,905,Medium
16,0,0,37,742,1,1421,High
16,2,2,23,763,3,263,Low
2,0,2,24,1021,2,489,Low
11,2,3,16,1462,1,217,Low
5,4,2,20,1282,0,263,Low
10,2,1,29,1610,0,529,Medium
2,6,0,17,1034,4,962,Medium
7,4,2,25,709,4,1240,High
13,4,3,20,545,2,642,Medium
13,2,0,17,1990,2,340,Low
9,1,2,38,525,0,643,Medium
1,3,3,25,1789,3,695,Medium
13,0,2,29,674,0,625,Medium
8,5,0,27,1834,0,1468,High
2,3,0,34,821,2,649,Medium
20,0,0,24,1658,4,550,Medium
7,0,1,20,554,2,798,Medium
15,4,2,29,1679,2,910,Medium
1,0,1,39,1167,2,1069,High
5,5,0,32,646,0,1384,High
20,0,3,32,1098,3,1363,High
11,2,2,21,519,0,592,Medium
4,3,1,29,1792,1,1041,High
1,2,2,32,832,2,600,Medium
15,5,3,32,1406,2,249,Low
4,0,1,34,1443,1,943,Medium
14,6,0,23,1410,2,1105,High
11,5,1,38,900,2,1235,High
3,4,2,16,1449,2,1190,High
14,2,2,22,1829,1,1238,High
10,2,2,34,527,0,227,Low
15,1,2,16,966,2,587,Medium
22,0,0,25,1783,3,1032,High
5,4,1,21,1481,1,449,Low
13,6,0,20,600,4,297,Low
17,2,0,24,1050,1,1262,High
11,2,0,19,1301,0,1261,High
10,4,2,25,852,1,378,Low
12,5,2,15,1823,4,1091,High
20,5,2,16,795,3,949,Medium
22,0,1,38,852,4,1387,High
10,1,3,15,1407,1,652,Medium
22,2,2,33,1653,4,296,Low
15,1,1,16,1518,1,508,Medium
14,5,2,35,1679,3,461,Low
20,5,2,34,1597,3,492,Low
14,3,0,37,1865,0,448,Low
3,6,0,35,1988,3,444,Low
10,0,0,38,1613,2,450,Low
18,3,1,18,954,4,322,Low
14,6,3,26,1211,4,524,Medium
3,3,3,36,1479,1,1185,High
20,3,1,34,1855,3,700,Medium
12,0,2,32,1238,0,886,Medium
21,0,1,15,1476,0,1289,High
18,4,2,15,1871,0,1035,High
1,1,1,38,732,2,258,Low
13,1,1,28,1523,3,930,Medium
3,4,1,18,601,0,465,Low
15,4,3,19,1452,2,435,Low
20,5,0,25,980,4,1097,High
19,6,1,38,1737,1,417,Low
13,3,3,37,607,3,1174,High
14,4,0,27,1688,3,788,Medium
2,2,0,30,1472,4,1116,High
7,1,1,38,1203,3,1117,High
15,4,2,27,834,3,1333,High
9,2,2,38,585,3,552,Medium
3,2,2,36,1233,3,290,Low
17,2,1,16,1374,2,901,Medium
1,5,2,30,1947,2,272,Low
16,5,3,20,863,1,884,Medium
12,2,3,28,559,3,921,Medium
3,6,3,15,1773,4,1421,High
10,5,3,31,1059,0,1157,High
6,3,0,25,616,1,1255,High
11,2,3,33,1373,0,847,Medium
9,3,2,17,1414,0,959,Medium
6,3,1,25,1467,3,1070,High
12,2,2,19,1498,4,342,Low
6,1,3,31,543,0,1148,High
23,6,0,36,1008,0,243,Low
16,2,3,21,1688,1,231,Low
9,2,1,24,1891,4,227,Low
9,5,2,25,1815,4,1219,High
23,2,1,17,1348,0,622,Medium
3,1,1,34,1416,4,690,Medium
19,5,1,24,1397,1,359,Low
3,0,2,24,1298,1,1044,High
21,0,3,28,1375,1,1430,High
6,3,1,26,785,3,217,Low
21,6,2,29,1727,0,1326,High
0,3,0,24,1183,4,871,Medium
11,1,2,24,1318,1,431,Low
23,4,0,33,620,0,623,Medium
12,6,2,15,1444,0,1103,High
9,0,3,38,1517,3,954,Medium
14,3,1,24,1711,4,1036,High
12,0,3,16,1406,4,1093,High
22,1,2,31,512,1,438,Low
21,1,1,38,1102,1,348,Low
21,4,0,21,699,0,822,Medium
20,4,2,21,1085,4,216,Low
21,5,1,34,1979,4,1113,High
8,6,0,23,947,1,425,Low
8,1,0,36,1340,2,851,Medium
14,3,3,16,1594,0,459,Low
9,0,2,28,1089,4,873,Medium
23,2,0,31,1653,3,373,Low
9,4,1,15,1388,3,404,Low
7,2,0,23,542,2,614,Medium
23,3,0,34,1019,1,1376,High
15,4,3,35,1536,1,1326,High
16,2,3,33,1224,1,991,Medium
4,6,1,18,1122,3,1288,High
3,3,3,22,1487,1,1340,High
17,0,0,27,1302,3,1379,High
23,6,0,18,1034,2,1305,High
18,3,3,23,801,0,717,Medium
3,5,0,23,1026,4,1290,High
6,4,0,36,1638,2,1461,High
9,1,1,32,959,3,1178,High
17,0,3,26,1331,2,1209,High
